"CompanyID","Active","CompanyName","CompanyTypeID","WorkTypeID","Address","Road","Village","District","Province","Zipcode","Telephone","Travel","lat","lon"
"1","0","บริษัท ทริปเปิลที บรอดแบนด์ จำกัด (มหาชน)","3",NULL,"200 ม.4  ","แจ้งวัฒนะ","ปากเกร็ด","ปากเกร็ด","นนทบุรี",NULL,"02-1003025",NULL,NULL,NULL
"2","1","บริษัท ยิบอินซอย จำกัด","3",NULL,"523","มหาพฤฒาราม","มหาพฤฒาราม ","บางรัก","กรุงเทพมหานคร",NULL,"02-3538600",NULL,NULL,NULL
"4","0","บริษัท GDL Technology (Gemdeluxe.Com Co.,Ltd.)","3",NULL,"1693 ชั้น 12 เซ็นทรัลลาดพร้าวพลาซ่า","ถ.พหลโยธิน",NULL,NULL,"กรุงเทพมหานคร
",NULL,NULL,NULL,NULL,NULL
"5","0","สำนักงานปลัดกระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร","1",NULL,"120 ม. 3 ศูนย์ราชการเฉลิมพระเกียรติ 80 พรรษาฯ อาคารรัฐประศาสนภักดี","แจ้งวัฒนะ","ทุ่งสองห้อง","หลักสี่","กรุงเทพมหานคร","10210",NULL,NULL,NULL,NULL
"6","0","ธนาคารออมสิน สำนักงานใหญ่ ","2",NULL,"470 ","พหลโยธิน","สามเสนใน","พญาไท","กรุงเทพมหานคร","10400",NULL,NULL,NULL,NULL
"7","0","บริษัท Magic Software (Thailand) Corp., Ltd","3",NULL,"9/68 MST House ซ. รัชดาภิเษก33","รัชดาภิเษก",,"จตุจักร ","กรุงเทพมหานคร",,"029119988",NULL,NULL,NULL
"8","0","บริษัท Infonet international CO.,LTD ","3",NULL,"2170, 9th Bangkok Tower","เพชรบุรีตัดใหม่","บางกะปิ","ห้วยขวาง","กรุงเทพมหานคร","10310",,NULL,NULL,NULL
"9","1","สำนักงานวิทยบริการและเทคโนโลยีสารสนเทศ มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร ","1",NULL,"399","สามเสน ","วชริพยาบาล ","ดุสิต ","กรุงเทพมหานคร","10300",,NULL,NULL,NULL
"10","1","สำนักงานสลากกินแบ่งรัฐบาล","1",NULL,"259","นนทบุรี","ท่าทราย","เมือง","นนทบุรี","11000","02-5288888",NULL,NULL,NULL
"11","0","บริษัท TGS Enterprise Network Limited (Thailand) ","3",NULL,"2922/221 อาคารชาญอิสระ 2 ชั้น 14","เพชรบุรีตัดใหม่",,"ห้วยขวาง","กรุงเทพมหานคร","10310",,NULL,NULL,NULL
"12","0","การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย ","2",NULL,"175","พระราม 9",NULL,"ห้วยขวาง","กรุงเทพมหานคร","10320",NULL,NULL,NULL,NULL
"13","0","บริษัท Blue & White Group","3",NULL,"สถานีขนส่งพุทธมณฑล 133 ม.1","บรมราชชนนี","บางเตย","สามพราน","นครปฐม","73210 ",,NULL,NULL,NULL
"14","1","กรมชลประทาน ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร","1",NULL,"811 ","สามเสน","นครไชยศรี","ดุสิต","กรุงเทพมหานคร","10300",,NULL,NULL,NULL
"15","0","บริษัท ล็อกซเล่ย์ จำกัด (มหาชน) ฝ่ายระบบควบคุม","3",NULL,"102","ระนอง ","คลองเตย","คลองเตย","กรุงเทพมหานคร","10110",NULL,NULL,NULL,NULL
"16","1","บริษัท จัสมินอินเตอร์เนชั่นแนล จำกัด","3",NULL,"200 หมู่ 4 อาคารจัสมิน อินเตอร์เนชั่นแนล ชั้น 30","แจ้งวัฒนะ","ปากเกร็ด","ปากเกร็ด ","นนทบุรี ","11120",,NULL,NULL,NULL
"17","0","บริษัท บีอีซี-เทโร เอ็นเตอร์เทนเม้นท์ จ ากัด (มหาชน) ","3",NULL,"3199 อาคารมาลันนท์ทาวเวอร์ ชั้น22 ","พระราม4 ","คลองตัน ","คลองเตย","กรุงเทพมหานคร","10110",NULL,NULL,NULL,NULL
"18",,"บริษัท เวสเทริ์น ดิจิตอล (ประเทศไทย) จำกัด ","3",NULL,"140 ",NULL,"คลองจิก","บางประอิน ","พระนครศรีอยุธยา ","13160",NULL,NULL,NULL,NULL
"19","0","บริษัท RIS CO., Ltd ","3",NULL,"Central Silom Tower, 306 ","สีลม ","สุริยวงศ์ ","บางรัก ","กรุงเทพมหานคร","10500",,NULL,NULL,NULL
"20","1","บริษัท ดาต้า อินโมชั่น จำกัด ","3",NULL,"ชั้น 8 อาคารอัลม่าลิงค์ เลขที่ 25 ซ.ชิดลม","เพลินจิต ","ลุมพินี ","ประทุมวัน","กรุงเทพมหานคร","10300","02-2556691",NULL,NULL,NULL
